alone	2.0000	0.0004	2.6732
should	6.0000	0.0012	3.0412
encourage	1.0000	0.0002	2.4971
thrice	2.0000	0.0004	2.6732
what	10.0000	0.0020	3.2375
tell	7.0000	0.0014	3.0992
THREE	4.0000	0.0008	2.8950
times	2.0000	0.0004	2.6732
true	3.0000	0.0006	2.7981
complete	2.0000	0.0004	2.6732
included	1.0000	0.0002	2.4971
maker	2.0000	0.0004	2.6732
BONNETS	2.0000	0.0004	2.6732
barrister	5.0000	0.0010	2.9742
arrange	1.0000	0.0002	2.4971
their	16.0000	0.0032	3.4265
BROKER	1.0000	0.0002	2.4971
value	1.0000	0.0002	2.4971
goods	1.0000	0.0002	2.4971
billiard	1.0000	0.0002	2.4971
marker	2.0000	0.0004	2.6732
whose	4.0000	0.0008	2.8950
skill	1.0000	0.0002	2.4971
immense	1.0000	0.0002	2.4971
perhaps	1.0000	0.0002	2.4971
won	1.0000	0.0002	2.4971
BANKER	2.0000	0.0004	2.6732
engaged	2.0000	0.0004	2.6732
enormous	1.0000	0.0002	2.4971
expense	1.0000	0.0002	2.4971
whole	3.0000	0.0006	2.7981
cash	1.0000	0.0002	2.4971
there	9.0000	0.0018	3.1961
BEAVER	18.0000	0.0036	3.4748
paced	1.0000	0.0002	2.4971
deck	1.0000	0.0002	2.4971
sit	2.0000	0.0004	2.6732
making	5.0000	0.0010	2.9742
lace	3.0000	0.0006	2.7981
bow	1.0000	0.0002	2.4971
saved	1.0000	0.0002	2.4971
from	5.0000	0.0010	2.9742
wreck	1.0000	0.0002	2.4971
though	9.0000	0.0018	3.1961
sailors	1.0000	0.0002	2.4971
famed	1.0000	0.0002	2.4971
number	3.0000	0.0006	2.7981
things	2.0000	0.0004	2.6732
forgot	2.0000	0.0004	2.6732
entered	1.0000	0.0002	2.4971
umbrella	1.0000	0.0002	2.4971
watch	1.0000	0.0002	2.4971
jewels	1.0000	0.0002	2.4971
rings	1.0000	0.0002	2.4971
clothes	2.0000	0.0004	2.6732
bought	3.0000	0.0006	2.7981
trip	2.0000	0.0004	2.6732
FORTY TWO	1.0000	0.0002	2.4971
boxes	2.0000	0.0004	2.6732
carefully	1.0000	0.0002	2.4971
painted	1.0000	0.0002	2.4971
clearly	2.0000	0.0004	2.6732
since	2.0000	0.0004	2.6732
omitted	1.0000	0.0002	2.4971
mention	3.0000	0.0006	2.7981
fact	2.0000	0.0004	2.6732
left	3.0000	0.0006	2.7981
behind	1.0000	0.0002	2.4971
beach	2.0000	0.0004	2.6732
loss	1.0000	0.0002	2.4971
hardly	2.0000	0.0004	2.6732
mattered	1.0000	0.0002	2.4971
because	1.0000	0.0002	2.4971
SEVEN	2.0000	0.0004	2.6732
coats	2.0000	0.0004	2.6732
pairs	1.0000	0.0002	2.4971
boots	1.0000	0.0002	2.4971
worst	1.0000	0.0002	2.4971
wholly	2.0000	0.0004	2.6732
forgotten	1.0000	0.0002	2.4971
answer	2.0000	0.0004	2.6732
hi	2.0000	0.0004	2.6732
any	4.0000	0.0008	2.8950
loud	1.0000	0.0002	2.4971
cry	2.0000	0.0004	2.6732
fry	1.0000	0.0002	2.4971
FRITTER	1.0000	0.0002	2.4971
wig	2.0000	0.0004	2.6732
may	11.0000	0.0022	3.2752
call	2.0000	0.0004	2.6732
um	2.0000	0.0004	2.6732
especially	1.0000	0.0002	2.4971
jig	1.0000	0.0002	2.4971
while	16.0000	0.0032	3.4265
those	5.0000	0.0010	2.9742
preferred	1.0000	0.0002	2.4971
forcible	1.0000	0.0002	2.4971
different	2.0000	0.0004	2.6732
names	1.0000	0.0002	2.4971
intimate	1.0000	0.0002	2.4971
friends	3.0000	0.0006	2.7981
called	4.0000	0.0008	2.8950
him	11.0000	0.0022	3.2752
candle	1.0000	0.0002	2.4971
ends	1.0000	0.0002	2.4971
enemies	1.0000	0.0002	2.4971
toasted	1.0000	0.0002	2.4971
cheese	1.0000	0.0002	2.4971
form	1.0000	0.0002	2.4971
ungainly	1.0000	0.0002	2.4971
intellect	1.0000	0.0002	2.4971
remark	6.0000	0.0012	3.0412
courage	2.0000	0.0004	2.6732
perfect	2.0000	0.0004	2.6732
after	4.0000	0.0008	2.8950
needs	2.0000	0.0004	2.6732
joke	1.0000	0.0002	2.4971
hyenas	1.0000	0.0002	2.4971
returning	1.0000	0.0002	2.4971
stare	1.0000	0.0002	2.4971
impudent	1.0000	0.0002	2.4971
wag	2.0000	0.0004	2.6732
head	5.0000	0.0010	2.9742
went	7.0000	0.0014	3.0992
walk	1.0000	0.0002	2.4971
paw	2.0000	0.0004	2.6732
bear	1.0000	0.0002	2.4971
keep	3.0000	0.0006	2.7981
spirits	2.0000	0.0004	2.6732
BAKER	10.0000	0.0020	3.2375
owned	2.0000	0.0004	2.6732
too	7.0000	0.0014	3.0992
drove	1.0000	0.0002	2.4971
poor	3.0000	0.0006	2.7981
HALF	2.0000	0.0004	2.6732
bake	1.0000	0.0002	2.4971
BRIDECAKE	1.0000	0.0002	2.4971
state	2.0000	0.0004	2.6732
materials	1.0000	0.0002	2.4971
last	5.0000	0.0010	2.9742
especial	1.0000	0.0002	2.4971
looked	5.0000	0.0010	2.9742
incredible	1.0000	0.0002	2.4971
dunce	2.0000	0.0004	2.6732
JUST ONE	1.0000	0.0002	2.4971
idea	1.0000	0.0002	2.4971
ONE	11.0000	0.0022	3.2752
good	4.0000	0.0008	2.8950
BUTCHER	13.0000	0.0026	3.3422
gravely	1.0000	0.0002	2.4971
declared	3.0000	0.0006	2.7981
sailing	2.0000	0.0004	2.6732
week	1.0000	0.0002	2.4971
kill	1.0000	0.0002	2.4971
beavers	1.0000	0.0002	2.4971
scared	1.0000	0.0002	2.4971
frightened	1.0000	0.0002	2.4971
length	2.0000	0.0004	2.6732
explained	3.0000	0.0006	2.7981
tremulous	1.0000	0.0002	2.4971
tone	3.0000	0.0006	2.7981
tame	1.0000	0.0002	2.4971
own	2.0000	0.0004	2.6732
death	1.0000	0.0002	2.4971
deeply	3.0000	0.0006	2.7981
deplored	1.0000	0.0002	2.4971
hear	2.0000	0.0004	2.6732
protested	1.0000	0.0002	2.4971
rapture	1.0000	0.0002	2.4971
atone	1.0000	0.0002	2.4971
dismal	2.0000	0.0004	2.6732
surprise	1.0000	0.0002	2.4971
strongly	1.0000	0.0002	2.4971
advised	2.0000	0.0004	2.6732
conveyed	1.0000	0.0002	2.4971
separate	2.0000	0.0004	2.6732
never	11.0000	0.0022	3.2752
agree	2.0000	0.0004	2.6732
plans	1.0000	0.0002	2.4971
made	2.0000	0.0004	2.6732
navigation	1.0000	0.0002	2.4971
always	5.0000	0.0010	2.9742
difficult	1.0000	0.0002	2.4971
art	1.0000	0.0002	2.4971
ONLY ONE	2.0000	0.0004	2.6732
ONE BELL	1.0000	0.0002	2.4971
feared	3.0000	0.0006	2.7981
must	7.0000	0.0014	3.0992
really	1.0000	0.0002	2.4971
decline	1.0000	0.0002	2.4971
part	1.0000	0.0002	2.4971
undertaking	2.0000	0.0004	2.6732
another	1.0000	0.0002	2.4971
best	4.0000	0.0008	2.8950
doubt	3.0000	0.0006	2.7981
procure	2.0000	0.0004	2.6732
SECOND	2.0000	0.0004	2.6732
hand	7.0000	0.0014	3.0992
dagger	1.0000	0.0002	2.4971
next	3.0000	0.0006	2.7981
insure	1.0000	0.0002	2.4971
life	8.0000	0.0016	3.1503
OFFICE OF NOTE	1.0000	0.0002	2.4971
banker	5.0000	0.0010	2.9742
suggested	2.0000	0.0004	2.6732
offered	4.0000	0.0008	2.8950
hire	1.0000	0.0002	2.4971
moderate	1.0000	0.0002	2.4971
terms	1.0000	0.0002	2.4971
sale	1.0000	0.0002	2.4971
excellent	1.0000	0.0002	2.4971
policies	1.0000	0.0002	2.4971
fire	1.0000	0.0002	2.4971
damage	1.0000	0.0002	2.4971
hail	1.0000	0.0002	2.4971
yet	6.0000	0.0012	3.0412
still	3.0000	0.0006	2.7981
sorrowful	1.0000	0.0002	2.4971
day	6.0000	0.0012	3.0412
whenever	1.0000	0.0002	2.4971
kept	3.0000	0.0006	2.7981
looking	2.0000	0.0004	2.6732
opposite	1.0000	0.0002	2.4971
way	5.0000	0.0010	2.9742
appeared	3.0000	0.0006	2.7981
unaccountably	1.0000	0.0002	2.4971
shy	2.0000	0.0004	2.6732
speech	3.0000	0.0006	2.7981
praised	1.0000	0.0002	2.4971
carriage	1.0000	0.0002	2.4971
ease	1.0000	0.0002	2.4971
grace	1.0000	0.0002	2.4971
solemnity	1.0000	0.0002	2.4971
see	3.0000	0.0006	2.7981
wise	1.0000	0.0002	2.4971
moment	6.0000	0.0012	3.0412
face	4.0000	0.0008	2.8950
large	3.0000	0.0006	2.7981
map	2.0000	0.0004	2.6732
representing	1.0000	0.0002	2.4971
sea	1.0000	0.0002	2.4971
without	6.0000	0.0012	3.0412
least	4.0000	0.0008	2.8950
vestige	1.0000	0.0002	2.4971
land	1.0000	0.0002	2.4971
much	4.0000	0.0008	2.8950
pleased	2.0000	0.0004	2.6732
found	6.0000	0.0012	3.0412
MERCATOR	1.0000	0.0002	2.4971
NORTH POLES	1.0000	0.0002	2.4971
EQUATORS	1.0000	0.0002	2.4971
TROPICS	1.0000	0.0002	2.4971
ZONES	1.0000	0.0002	2.4971
MERIDIAN LINES	1.0000	0.0002	2.4971
reply	1.0000	0.0002	2.4971
are	4.0000	0.0008	2.8950
merely	3.0000	0.0006	2.7981
conventional	1.0000	0.0002	2.4971
signs	1.0000	0.0002	2.4971
maps	1.0000	0.0002	2.4971
shapes	1.0000	0.0002	2.4971
islands	1.0000	0.0002	2.4971
capes	1.0000	0.0002	2.4971
we	21.0000	0.0042	3.5385
our	2.0000	0.0004	2.6732
